Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
361 17th St NW,619028, ,,Atlanta,,,1,30363,"Other, Mixed Use",Mixed Use Property,600000,4483296,TWELVE Atlantic Station,Not Available,64.5,38700000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5327.8999999999896,5327.900000000,10416,17.36,2005,12/31/2014,1/1/2015
441 16th St. NW,Not Available, ,92,Atlanta,92,,1,30363,Retail/ Entertainment,Retail Store,366000,4475504,IKEA Atlanta,Not Available,62.8,22984800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2669.3000000000002,2669.3,,,2005,12/31/2014,1/1/2015
171 17th Street N.W,Not Available, ,88,Atlanta,88,1,1,30363,Office,Office,545275,1536017,171 17th street Atlantic Station,Not Available,69.9,38114700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4601.3999999999896,4601.400000000,2137.48,3.92,2004,12/31/2014,1/1/2015
1910 Murphy Ave SW,583425, ,,Atlanta,,,1,30310,"Other, Mixed Use",Manufacturing/Industrial Plant,110000,4552214,"WelbornHenson, Inc.",Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,,,1950,12/31/2014,1/1/2015
1444 lucile Ave S.W,941056, ,85,Atlanta,85,,1,30310,Education (Pre-12),K-12 School,57480,4552024,KIPP Strive Campus,"Water data is an estimation due to ongoing meter disputes with Watershed Dept. For 2015 report, will have accurate data.",37.7,2166996,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,293.80000000000001,293.8,2149.75,37.4,1915,12/31/2014,1/1/2015
999 LEE ST SW,14-0119-LL-019, ,1,Atlanta,1,1,1,30310,Office,Office,85758,4509457,CO/GLC ATGXGA/999 LEE ST SW/ATLANTA/GA,Not Available,292,25041336,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4516.8000000000002,4516.8,234.119,2.73,1997,12/31/2014,1/1/2015
715 W Whitehall Street SW,Not Available, ,,Atlanta,,,1,30310,"Other, Mixed Use",Other,34710,4480412,V T Used Tire Company Inc.,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1930,12/31/2014,1/1/2015
400 Manford Street,181885, ,,Atlanta,,1,1,30310,"Other, Mixed Use",Other,12920,4293091,WW-McDaniel Street -CSO,"Gas data: according to UMS and gas utility, there is no gas data for this address.",2.5,32300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5.7000000000000002,5.7,0,0,1980,12/31/2014,1/1/2015
950 Garibaldi Street,448011, ,,Atlanta,,1,1,30310,Municipal,Municipal,28000,3965356,DPRCA-Pittman Park~Rec Ctr Pool-Bath,Not Available,56.4,1579200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,221.19999999999899,221.200000000,331.52,11.84,1949,12/31/2014,1/1/2015
1489 Ralph D Abernathy Blvd SW,653510, ,,Atlanta,,1,1,30310,Municipal,Fire Station,7468,3963179,Fire Station 17,Not Available,81.1,605655,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,71.5,71.5,603.937,80.87,1987,12/31/2014,1/1/2015
"1203 Lee Street, SW Bldg 59762",881927, ,,Atlanta,,1,1,30310,Municipal,Fire Station,8000,3963161,Fire Station 14,Not Available,114.3,914400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,98.0,98,457.28,57.16,2002,12/31/2014,1/1/2015
770 Deckner Avenue,845739, ,,Atlanta,,1,1,30310,Municipal,Municipal,6621,3935734,DPRCA-Perkerson Park ~ Rec Center,Gas Data: There is no Nov. 2014 gas data for this account.,145.8,965342,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,126.3,126.3,45.1552,6.82,1940,12/31/2014,1/1/2015
820 Murphy Avenue,101156, ,,Atlanta,,1,1,30310,Municipal,Municipal,16479,3935722,DPRCA-Adair Park ~ Warehouse,Not Available,46.7,769569,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,68.900000000000006,68.9,38.0665,2.31,2001,12/31/2014,1/1/2015
"590 Manford Road, SW",171224, ,,Atlanta,,1,1,30310,Municipal,Fire Station,4849,3926657,Fire Station 20,Water data: no data after Nov. 2014.,92.2,447078,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,48.100000000000001,48.1,760.081,156.75,1928,12/31/2014,1/1/2015
793 Park St SW,Not Available, ,,Atlanta,,,1,30310,Office,Office,38016,3381361,Park Street Church,Not Available,44.4,1687910,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,168.19999999999899,168.200000000,488.506,12.85,1927,12/31/2014,1/1/2015
590 Cascade Rd,894042, ,69,Atlanta,69,1,1,30310,Retail/ Entertainment,Supermarket/Grocery Store,82844,2980082,01100412 -- Atlanta,Not Available,179.9,14903600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2217.5999999999899,2217.600000000,,,1995,12/31/2014,1/1/2015
6250 Peachtree Dunwoody Rd,287664, ,53,Atlanta,53,1,1,30328,Lodging,Hotel,75000,3351308,311c8-Perimeter Center Courtyard,Not Available,87.4,6555000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,906.5,906.5,6567,87.56,1987,12/31/2014,1/1/2015
6250 Peachtree Dunwoody Rd,287664, ,53,Atlanta,53,1,1,30328,Lodging,Hotel,75000,3351308,311c8-Perimeter Center Courtyard,Not Available,87.4,6555000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,906.5,906.5,6567,87.56,1987,12/31/2014,1/1/2015
1600 Riveredge Pkwy,234785, ,,Atlanta,,,1,30328,Office,Office,505212,2308935,Riveredge Summit,Water and irrigation bills after 6/22/16 are in dispute with the City of Atlanta.  Estimated bills have been entered.,42.6,21522000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3298.9000000000001,3298.9,4855.09,9.61,1982,12/31/2014,1/1/2015
990 Hammond Drive,530242, ,,Atlanta,,,1,30328,Office,Office,251703,1474888,One Lakeside Commons,Not Available,58.1,14623900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2644.1999999999898,2644.200000000,10322.3,41.01,1985,12/31/2014,1/1/2015
980 Hammond Drive,Not Available, ,,Atlanta,,,1,30328,Office,Office,324262,1474883,Two Lakeside Commons,Not Available,64.1,20785200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3762.4000000000001,3762.4,2633.01,8.12,1996,12/31/2014,1/1/2015
3714 Roswell Road,958372, ,,Atlanta,,,1,30342,Retail/ Entertainment,Retail Store,79748,4558779,Powers Ferry Square - Atlanta,Not Available,272.2,21707400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2688.8000000000002,2688.8,2950.68,37,1957,12/31/2014,1/1/2015
1001 Johnson Ferry Rd. NE,341922, ,8,Atlanta,8,,1,30342,Hospital/Medical,Hospital (General Medical & Surgical),634700,4127394,Scottish Rite Hospital,Not Available,288.6,183174420,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,21562.5999999999,21562.600000000,,,1976,12/31/2014,1/1/2015
135 W. Wieuca Rd. NW,680465, ,,Atlanta,,21,1,30342,Municipal,Municipal,16179,3968930,Chastain Memorial Park,Water Data: There are no water meter accounts at this address according to DWM.,42.6,689225,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,111.7,111.7,,,1973,12/31/2014,1/1/2015
1150 Lake Hearn Dr,990453, ,67,Atlanta,67,,1,30342,Office,Medical Office,240956,2957213,Pavilion at Lake Hearn,"This building and building ID 744223 (1100 Lake Hearn Dr NE) are both on one master meter for water and electric.  Because of this, all fuel consumption information being reported will be for both buildings.   

Georgia Power changed meter numbers mid year.  The OLD meter # was DK6085.  Then during the service period spanning March - April 2014, it changed to the NEW meter #AG2374.",71.4,17204300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3110.6999999999898,3110.700000000,,,1983,12/31/2014,1/1/2015
5555 Glenridge Connector,Not Available, ,78,Atlanta,78,,1,30342,Office,Office,308905,1324662,Glenridge Highlands One,Not Available,63.1,19491900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3527.6999999999898,3527.700000000,3175.54,10.28,1998,12/31/2014,1/1/2015
726 Ponce de Leon Pl NE,833517, ,,Atlanta,,,1,30306,Storage & Distribution,Self-Storage Facility,58400,4557075,Morningstar Storage,Not Available,8.7,508080,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,91.5,91.5,,,2008,12/31/2014,1/1/2015
1026 Ponce de Leon Ave,Not Available, ,50,Atlanta,50,,1,30306,Worship,Worship Facility,37150,4552258,Sanctuary and Education Buildings,Not Available,50.7,1883505,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,214.80000000000001,214.8,234.045,6.3,1940,12/31/2014,1/1/2015
1026 Ponce de Leon Ave,Not Available, ,,Atlanta,,,1,30306,College/University & Residence Hall/Dormitory,Residence Hall/Dormitory,3200,4552251,McIver Hall,Not Available,189.8,607360,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,58.5,58.5,499.232,156.01,1951,12/31/2014,1/1/2015
1026 Ponce de Leon Ave,Not Available, ,,Atlanta,,,1,30306,Education (Pre-12),Pre-school/Daycare,18500,4552245,Dilbeck Building,Not Available,38.9,719650,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,90.099999999999895,90.100000000,411.81,22.26,1963,12/31/2014,1/1/2015
530 W Peachtree St,921524, ,,Atlanta,,,1,30306,Office,Medical Office,131905,4483311,CTR Labs,Not Available,24.2,3192101,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,577.20000000000005,577.2,,,1921,12/31/2014,1/1/2015
1320 Monroe Drive,221822, ,,Atlanta,,1,1,30306,"Other, Mixed Use",Other,38160,4293077,WW-Clear Creek CSO,"Data notes: According to UMS and gas utility, there is no data for this address.",0,0,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,13752.5,360.39,2005,12/31/2014,1/1/2015
1063 North Highland Ave NE,595357, ,,Atlanta,,1,1,30306,Municipal,Fire Station,5024,3963163,Fire Station 19,Not Available,110.2,553645,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,63.0,63,293.904,58.5,1925,12/31/2014,1/1/2015
"1125 Ponce de Leon Avenue, N.E.",613673, ,47,Atlanta,47,1,1,30306,Multi Family,Multifamily Housing,74012,3909807,Salvation Army William Booth Towers,Federal Property? No. Private property owned by federal grant recipient (Project-based Section 8 rent subsidy contract),51.9,3841220,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,497.39999999999901,497.400000000,,,1987,12/31/2014,1/1/2015
600 Virginia Ave. Ne,359296, ,68,Atlanta,68,1,1,30306,Storage & Distribution,Non-Refrigerated Warehouse,81568,3663908,1338-Atlanta - Virginia AVE,Not Available,14.3,1166420,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,186.19999999999899,186.200000000,62.8074,0.77,2009,12/31/2014,1/1/2015
725 Ponce De Leon,488892, ,56,Atlanta,56,,1,30306,Retail/ Entertainment,Supermarket/Grocery Store,45528,2980030,01100295 -- Atlanta,Not Available,197.7,9000890,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1480.5999999999899,1480.600000000,,,1986,12/31/2014,1/1/2015
359 West Lake Ave NW,Not Available, ,,Atlanta,,,1,30318,Multi Family,Multifamily Housing,71000,5015041,Silvertree Seniors of Atlanta,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,,,1989,12/31/2014,1/1/2015
680 14th Street NW,547778, ,,Atlanta,,,1,30318,Storage & Distribution,Self-Storage Facility,66157,4628283,Uncle Bob's Self Storage #407,Not Available,22,1455454,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,263.69999999999902,263.700000000,,,2009,12/31/2014,1/1/2015
781 Wheeler Street,117014, ,69,Atlanta,69,,1,30318,Office,Office,78386,4624451,"English Avenue Yards, LLC",Not Available,65.5,5134283,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,539.0,539,,,1965,12/31/2014,1/1/2015
2020 Howell Mill Road,458355, ,,Atlanta,,,1,30318,Retail/ Entertainment,Retail Store,53452,4558901,Howell Mill Village - Atlanta,Not Available,255.2,13641000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1851.0,1851,1389.22,25.99,1979,12/31/2014,1/1/2015
950 Joseph E Lowery Blvd,200978, ,,Atlanta,,,1,30318,Office,Office,83000,4546406,Puritan Mill,"For gas consumption, we are on a seasonal schedule which is a turn on in October and turn off in April.  We also only have consumption numbers for our office, a house account and one other office.  The remaining tenants have their own gas accounts and we have no access to those 
numbers.",38.8,3220400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,548.5,548.5,595.11,7.17,1920,12/31/2014,1/1/2015
3181 Donald Lee Hollowell Parkway,Not Available, ,,Atlanta,,,1,30318,"Other, Mixed Use",Other,47169,4537502,Petro Stopping Centers,Not Available,322.4,15207300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1962.5999999999899,1962.600000000,,,1992,12/31/2014,1/1/2015
1801 Howell Mill Road NW,976730, ,,Atlanta,,1,1,30318,Retail/ Entertainment,Wholesale Club/Supercenter,150000,4527632,Walmart Supercenter #3775,Not Available,117.4,17610000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3185.3000000000002,3185.3,2524.5,16.83,2006,12/31/2014,1/1/2015
1820 Marietta Boulevard,430572, ,,Atlanta,,,1,30318,Storage & Distribution,Self-Storage Facility,98016,4523484,CubeSmart - 1820 Marietta Boulevard,Not Available,7,686112,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,123.90000000000001,123.9,,,2008,12/31/2014,1/1/2015
1225 NW CHATTAHOOCHEE AVENUE,497906, ,54,Atlanta,54,,1,30318,Retail/ Entertainment,Retail Store,100000,4516580,01099-MENS WEARHOUSE,Not Available,56.7,5670000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,730.5,730.5,322,3.22,1995,12/31/2014,1/1/2015
"2353 Bolton Rd, NW",371859, ,88,Atlanta,88,1,1,30318,Office,Office,42000,4498139,Atlanta Mission Administrative Offices,Atlanta Building ID # 371859,37.7,1583400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,242.19999999999899,242.200000000,96.18,2.29,1960,12/31/2014,1/1/2015
921 Howell Mill Road,860327, ,,Atlanta,,1,1,30318,Lodging,Other - Lodging/Residential,64771,4486603,Atlanta Mission My Sister's House,Project Engineer: Tianyao Zhang,85.9,5563830,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,625.20000000000005,625.2,1951.55,30.13,2003,12/31/2014,1/1/2015
530 Means Street,455349, ,76,Atlanta,76,,1,30318,Office,Office,61008,4483896,530 Means Street,Not Available,71.8,4380370,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,792.29999999999905,792.300000000,582.016,9.54,1900,12/31/2014,1/1/2015
530 Means Street,514890, ,79,Atlanta,79,,1,30318,Office,Office,41850,4483839,512 Means Street,Not Available,69.8,2921130,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,528.20000000000005,528.2,335.219,8.01,1900,12/31/2014,1/1/2015
"1401 Marietta Blvd., NW",428318, ,,Atlanta,,1,1,30318,"Other, Mixed Use",Manufacturing/Industrial Plant,62645,4483834,"Art Laminating & Finishing, LLC",This is one building.  428318 is being submitted on behalf of 428318_a and 428318_b.,86.8,5437586,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,873.70000000000005,873.7,238.051,3.8,1956,12/31/2014,1/1/2015
2436 Bolton Road Nw,799905, ,,Atlanta,,1,1,30318,Storage & Distribution,Self-Storage Facility,56932,4483802,28155-Atlanta / Bolton RD NW,Not Available,2.2,125250,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,22.600000000000001,22.6,27.8967,0.49,2000,12/31/2014,1/1/2015
1410 Seaboard Industrial Blvd.,Not Available, ,,Atlanta,,,1,30318,"Other, Mixed Use",Manufacturing/Industrial Plant,50000,4482215,"Zep, Inc.",Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,199.30000000000001,199.3,,,1950,12/31/2014,1/1/2015
1695 Marietta Blvd. NW,156699, ,,Atlanta,,1,1,30318,"Museums, Performing Arts and Zoos",Performing Arts,52472,4479637,Michael C. Carlos Dance Centre,"Building 156699 is only one building, so the submission is for both 
156699_a and 156699_b",49.8,2613110,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,262.10000000000002,262.1,236.124,4.5,2008,12/31/2014,1/1/2015
1387 Northside Drive,269691, ,,Atlanta,,1,1,30318,Storage & Distribution,Self-Storage Facility,68329,4479600,20160-Atlanta / Northside Drive,Not Available,3.6,245984,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,44.899999999999899,44.900000000,0,0,1993,12/31/2014,1/1/2015
1506 Howell Mill Road Nw,361229, ,,Atlanta,,1,1,30318,Storage & Distribution,Self-Storage Facility,68675,4479589,25593-Atlanta/Howell Mill RD NW,Not Available,7.1,487592,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,87.900000000000006,87.9,238.302,3.47,2005,12/31/2014,1/1/2015
647 Donald Lee Hollowell Pkwy NW,913289, ,,Atlanta,,1,1,30318,Storage & Distribution,Self-Storage Facility,125000,4479567,25784-Atlanta/Donald Lee Hollowell,Not Available,6.7,837500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,151.90000000000001,151.9,101.25,0.81,2013,12/31/2014,1/1/2015
981 Howell Mill Road,440801, ,,Atlanta,,2,1,30318,"Other, Mixed Use",Other,56250,4478284,Atlanta Humane Society Howell Campus,Not Available,92.4,5197500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,638.10000000000002,638.1,,,1980,12/31/2014,1/1/2015
"3045 D L Hollowell Pkwy, NW",Not Available, ,,Atlanta,,,1,30318,Municipal,Other - Public Services,57725,4475265,Republic Services,Not Available,88.5,5108660,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,618.10000000000002,618.1,,,1992,12/31/2014,1/1/2015
890 Chattahoochee Ave NW,735748, ,,Atlanta,,1,1,30318,Storage & Distribution,Self-Storage Facility,67960,4468870,1593-Atlanta - Chattahoochee OC,Not Available,3.7,251452,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,45.899999999999899,45.900000000,40.0964,0.59,2009,12/31/2014,1/1/2015
1670 DeFoor Avenue,491332, ,97,Atlanta,97,1,1,30318,Office,Office,60008,4468418,"Ballard Designs, Inc.",Not Available,31.9,1914260,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,287.5,287.5,339.045,5.65,1929,12/31/2014,1/1/2015
1170 Howell Mill Road,238744, ,,Atlanta,,1,1,30318,"Other, Mixed Use",Mixed Use Property,171214,4463884,WP Building (1170 Howell Mill Road),Not Available,39.5,6762953,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1223.7,1223.7,,,1910,12/31/2014,1/1/2015
1170 Howell Mill Road,112940, ,,Atlanta,,1,1,30318,Retail/ Entertainment,Retail Store,8654,4463883,1168 Howell Mill Road,Not Available,6.5,56251,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,10.1999999999999,10.200000000,936.536,108.22,1910,12/31/2014,1/1/2015
1100 Howell Mill Road,358275, ,,Atlanta,,1,1,30318,Retail/ Entertainment,Retail Store,20183,4463880,A Building,Not Available,134.6,2716630,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,491.60000000000002,491.6,3763.52,186.47,1910,12/31/2014,1/1/2015
1170 Howell Mill Road,255813, ,,Atlanta,,,1,30318,Retail/ Entertainment,Retail Store,3184,4463877,C Building (J Crew),Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1910,12/31/2014,1/1/2015
