BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
3400 S CENTRAL AVE,4.84E+11,323.6,COMPLIED,47.9,47.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,51800,Not Available,Not Available,1,100,Not Available,90011,2016,Police Station,90.3,228.3,1079.6,90.3,228.3,1990
323 S CATALINA ST,4.72E+11,264,COMPLIED,-31.9,-31.9,95,No,Not Available,Not Available,AUM,129344,Not Available,Not Available,1,95,Not Available,90020,2016,Multifamily Housing,31.3,67.8,7033.9,31.3,67.8,1987
5741 W JEFFERSON BLVD,4.48E+11,21.8,COMPLIED,-80.7,-80.7,Not Available,No,Not Available,Not Available,Public Storage,76590,237,3.09,1,100,Not Available,90016,2016,Self-Storage Facility,3.8,9.2,237,3.9,9.1,1993
3401 S CENTRAL AVE,4.84E+11,40.7,COMPLIED,-22.2,-22.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,11188,Not Available,Not Available,1,100,Not Available,90011,2016,Fire Station,55.9,120.1,397.1,Not Available,Not Available,1950
1824 N CAMPUS RD,4.99E+11,253.3,COMPLIED,-69.5,-69.5,Not Available,No,Not Available,Not Available,Occidental College,100662,3660,36.36,1,100,Not Available,90041,2016,College/University,39.5,80,3660,39.5,80,2008
3430 S LA BREA AVE,4.54E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Price Self Storage,282765,Not Available,Not Available,1,90,Not Available,90016,2016,Self-Storage Facility,Not Available,Not Available,Not Available,Not Available,Not Available,1954
111 E 1ST ST,4.88E+11,401.3,COMPLIED,13.5,13.5,38,No,Not Available,Not Available,ece_cola_gsd,73815,Not Available,Not Available,1,100,Not Available,90012,2016,Office,71.7,225.1,2816.3,71.7,225.1,2000
1840 W YOSEMITE DR,4.99E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8615,Not Available,Not Available,1,100,Not Available,90041,2016,Other - Recreation,Not Available,Not Available,3251,Not Available,Not Available,1979
7600 S BROADWAY,4.78E+11,107.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,118976,Not Available,Not Available,1,100,Not Available,90003,2016,Parking,12.9,33.6,401,13.1,33.8,2001
7435 N VALJEAN AVE,4.15E+11,85.2,COMPLIED,-11.9,-11.9,Not Available,No,Not Available,Not Available,Los Angeles World Airports,32514,Not Available,Not Available,1,50,Not Available,91406,2016,Other,34.5,108.5,270,Not Available,Not Available,1981
1920 W CUMBRE DR,4.64E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",9954,Not Available,Not Available,1,100,Not Available,90732,2016,Other - Recreation,Not Available,Not Available,7575.5,Not Available,Not Available,1972
160 S VIRGIL AVE,4.75E+11,339.3,COMPLIED,15.3,15.3,28,No,Not Available,Not Available,MWest Residential,113658,Not Available,Not Available,1,100,Not Available,90004,2016,Multifamily Housing,44.4,104.2,5915.3,Not Available,Not Available,1971
15950 SHERMAN WAY,4.16E+11,269,COMPLIED,-16.4,-16.4,75,No,Not Available,Not Available,Sk Management,117653,Not Available,Not Available,0,100,Not Available,91406,2016,Multifamily Housing,35.1,75.5,4605.8,35.9,76.3,1983
3640 LOS FELIZ BLVD,4.79E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Fountain View Apartments,105000,Not Available,Not Available,6,100,Not Available,90027,2016,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1954
7301 WORLD WAY WEST,4.33E+11,439,COMPLIED,-43.2,-43.2,89,No,Not Available,Not Available,Los Angeles World Airports,142656,Not Available,Not Available,1,50,Not Available,90045,2016,Office,43.5,116,5874.5,Not Available,Not Available,1976
2633 ARTESIAN ST,4.95E+11,310.5,COMPLIED,-1.9,-1.9,51,No,Not Available,Not Available,Los Angeles Department of Water and Power,130480,Not Available,Not Available,1,100,Not Available,90031,2016,Non-Refrigerated Warehouse,31.4,98.5,2111.9,31.4,98.5,1993
4501 COLORADO BLVD,4.80E+11,0,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Baxalta US Inc,529000,Not Available,Not Available,3,70,Not Available,90039,2016,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,1952
9750 DE SOTO AVE,3.84E+11,173.4,COMPLIED,-6.8,-6.8,Not Available,No,Not Available,Not Available,Strategic Partners.net,61600,Not Available,Not Available,2,95,Not Available,91311,2016,Mixed Use Property,37.6,114.8,Not Available,36.4,111,1964
3663 W 6TH ST,4.70E+11,60.2,COMPLIED,-89.4,-89.4,100,No,Not Available,Not Available,CPM,105535,2180.4,20.66,1,100,Not Available,90020,2016,Medical Office,7.6,18.4,2180.4,7.7,18.5,1956
18110 CHATSWORTH ST,4.02E+11,5.7,COMPLIED,-98,-98,100,No,Not Available,Not Available,Global Realty Corp,105000,Not Available,Not Available,1,95,Not Available,91344,2016,Multifamily Housing,0.7,2.3,6644.1,Not Available,Not Available,1979
7501 N TYRONE AVE,4.27E+11,18.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,199305,Not Available,Not Available,1,0,Not Available,91405,2016,Parking,1.2,3.9,Not Available,1.2,3.9,1990
1230 W 3RD ST,4.83E+11,220.4,COMPLIED,-8.5,-8.5,58,No,Not Available,Not Available,Los Angeles Department of Water and Power,36015,Not Available,Not Available,1,100,Not Available,90017,2016,Office,90.3,216.5,604.5,90.9,218.3,1972
7870 N NOLLAN PL,4.27E+11,329.4,COMPLIED,607.3,607.3,Not Available,No,Not Available,Not Available,ece_cola_gsd,10661,Not Available,Not Available,1,80,Not Available,91402,2016,Police Station,456.3,1091.8,372.9,448.1,1066,1990
6851 W IMPERIAL HWY,4.37E+11,171.6,COMPLIED,-41.4,-41.4,87,No,Not Available,Not Available,Los Angeles World Airports,61949,Not Available,Not Available,1,95,Not Available,90045,2016,Office,37.4,111.4,514.7,Not Available,Not Available,1972
8501 BEVERLY BLVD,4.47E+11,1968.9,COMPLIED,24.8,24.8,26,No,Not Available,Not Available,Accor Business and Leisure,302800,13666,45.13,0,100,Not Available,90048,2016,Hotel,93.9,192.7,13666,96.2,193.4,1988
4500 VAN NUYS BLVD,4.26E+11,260.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Best Buy,51997,Not Available,Not Available,1,20,Not Available,91403,2016,Wholesale Club/Supercenter,66,207.3,1355.3,64.6,202.9,2007
9545 WENTWORTH ST,4.59E+11,202.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Bilson Reality LLC,85000,Not Available,Not Available,1,100,Not Available,91040,2016,Manufacturing/Industrial Plant,30.2,79.9,1702.4,29.8,78,1963
2230 N PASADENA AVE,4.96E+11,42.5,COMPLIED,-41.4,-41.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,14370,Not Available,Not Available,1,100,Not Available,90031,2016,Fire Station,47.3,90.5,274.8,48.5,91.4,2010
6020 W AVION DR,4.44E+11,309.3,COMPLIED,62,62,Not Available,No,Not Available,Not Available,Los Angeles World Airports,56385,Not Available,Not Available,1,95,Not Available,90045,2016,Other,79.6,199.4,469,Not Available,Not Available,1946
11766 WILSHIRE BLVD,4.22E+11,1387,COMPLIED,-44.1,-44.1,93,No,09/25/2017,"2017, 2010, 2004, 2002, 1999",650186,400121,Not Available,Not Available,1,95,Not Available,90025,2016,Office,45.7,143.5,6161.7,45.7,143.5,1989
1999 W ADAMS BLVD,4.68E+11,139,COMPLIED,-33.5,-33.5,Not Available,No,Not Available,Not Available,"Community Impact Development II, LLC",55000,139.9,2.54,2,100,Not Available,90018,2016,Office,34.9,98.4,139.9,34.9,98.4,1948
7267 1/2 N WHITSETT AVE,4.39E+11,118.7,COMPLIED,-29.3,-29.3,Not Available,No,Not Available,Not Available,ece_cola_gsd,66188,Not Available,Not Available,1,100,Not Available,91605,2016,Other - Services,24.5,71,782.3,25.7,72.2,1990
9401 CORBIN AVE,3.91E+11,581.9,COMPLIED,-35.2,-35.2,84,No,Not Available,Not Available,94 Is The 1,131305,441.4,3.36,1,100,Not Available,91311,2016,Office,59.6,179.1,441.4,Not Available,Not Available,1981
3355 WILSHIRE BLVD,4.72E+11,242.1,COMPLIED,-55.9,-55.9,Not Available,No,Not Available,Not Available,The Gaylord LLC,155325,458.2,2.95,1,100,Not Available,90010,2016,Multifamily Housing,18,56.4,458.2,17.9,56.3,1924
4550 W PICO BLVD,4.60E+11,724.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Midtown Crossing,296895,Not Available,Not Available,4,95,Not Available,90019,2016,Lifestyle Center,32.2,101,1891.1,32.2,101,2012
7860 NELSON RD,4.28E+11,557.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",189823,Not Available,Not Available,1,100,Not Available,91402,2016,Manufacturing/Industrial Plant,46,98.4,27929.3,Not Available,Not Available,1999
5375 W SAN FERNANDO RD,4.78E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,CINELEASE INC,324724,Not Available,Not Available,1,100,Not Available,90039,2016,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,1970
8501 FALLBROOK AVE,3.72E+11,322,COMPLIED,-75,-75,100,No,10/26/2015,"2015, 2014, 2013, 2012, 2011, 2009, 2007",CBRE,160681,3459.7,21.53,1,80,2511.2,91304,2016,Office,29.1,72.9,5971,29.1,72.9,1999
21325 SUPERIOR ST,3.82E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Pacific Coast Commercial,100400,Not Available,Not Available,1,100,Not Available,91311,2016,Non-Refrigerated Warehouse,Not Available,Not Available,4.5,Not Available,Not Available,1981
6310 SAN VICENTE BLVD,4.50E+11,575.6,COMPLIED,-20.7,-20.7,72,No,08/25/2017,"2017, 1999",650186,119478,1643.6,13.76,1,90,Not Available,90048,2016,Office,65.7,191.3,1643.6,64.8,185.5,1970
5700 WILSHIRE BLVD,4.55E+11,2027.5,NOT COMPLIED,-51.6,-51.6,96,No,11/11/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006",Leading Edge Consulting Services LLC,540391,Not Available,Not Available,1,80,Not Available,90036,2016,Office,50.6,151.1,5252.4,51.1,151.3,1987
6200 VISTA DEL MAR,4.25E+11,105.5,COMPLIED,-34.8,-34.8,95,No,Not Available,Not Available,"Vert Energy Group, Inc.",129177,Not Available,Not Available,1,100,Not Available,90293,2016,Multifamily Housing,13.7,22.7,4425.5,15.1,24.2,1964
14355 ROSCOE BLVD,4.27E+11,5.2,COMPLIED,-92.7,-92.7,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,12500,Not Available,Not Available,1,100,Not Available,91402,2016,Library,5.5,17.2,209.2,Not Available,Not Available,1999
6007 S ST ANDREWS PL,4.67E+11,411.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",111630,751.8,6.73,1,100,Not Available,90047,2016,Manufacturing/Industrial Plant,49.5,149.2,751.8,49.5,149.2,1924
7083 HAWTHORN AVE,4.57E+11,29.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Jamison Services, Inc.",9741,Not Available,Not Available,1,20,Not Available,90028,2016,Parking,34.9,109.5,1077.3,34.9,109.5,1966
426 E 7TH ST,4.87E+11,66,COMPLIED,-0.2,-0.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,14285,Not Available,Not Available,1,100,Not Available,90014,2016,Fire Station,70.6,154,554.2,Not Available,Not Available,1960
7800 WOODLEY AVE,4.16E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Louis L Borick Foundation,330000,Not Available,Not Available,3,55,Not Available,91406,2016,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1976
4073 GLENCOE AVE,4.27E+11,306.6,COMPLIED,-4.8,-4.8,60,No,Not Available,Not Available,equity residential,102932,Not Available,Not Available,2,95,Not Available,90292,2016,Multifamily Housing,47.6,91.3,4453.2,47.6,91.3,2003
13207 BRADLEY AVE,4.20E+11,63.1,COMPLIED,-63.8,-63.8,93,No,Not Available,Not Available,Prologis,134791,Not Available,Not Available,1,100,Not Available,91342,2016,Distribution Center,6.4,18.6,1197.6,6.4,18.4,1985
3699 WILSHIRE BLVD,4.69E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,3699 Wilshire LLC,320000,Not Available,Not Available,1,65,Not Available,90010,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1982
348 S HAUSER BLVD,4.56E+11,352.9,COMPLIED,-8.5,-8.5,66,No,Not Available,Not Available,AIMCO,120928,Not Available,Not Available,5,95,Not Available,90036,2016,Multifamily Housing,46.2,91.2,3556.9,Not Available,Not Available,2005
530 W 6TH ST,4.84E+11,11763.1,COMPLIED,1554.2,1554.2,1,No,Not Available,Not Available,Morlin Asset Management,163600,10607.5,64.84,1,75,Not Available,90014,2016,Data Center,828.7,2602,10607.5,827.9,2599.6,1929
4029 W WILSHIRE BLVD,4.66E+11,50.2,COMPLIED,13.6,13.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,9161,Not Available,Not Available,1,100,Not Available,90010,2016,Fire Station,85.7,175.3,439.7,91.2,181.1,1991
6250 W HOLLYWOOD BLVD,4.63E+11,2554.9,COMPLIED,95.9,95.9,2,No,Not Available,Not Available,Host Hotels and Resorts,291271,17131,58.81,1,100,Not Available,90028,2016,Hotel,125.6,325,17131,125.6,324.6,2016
8800 VENICE BLVD,4.45E+11,484.5,COMPLIED,-44.3,-44.3,Not Available,No,Not Available,Not Available,"WNM, Inc.",260000,5208.3,20.03,1,95,Not Available,90034,2016,Mixed Use Property,23.1,63.7,5208.3,23,60.8,1930
1663 S BUTLER AVE,4.25E+11,420.9,COMPLIED,217.8,217.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,29505,Not Available,Not Available,1,100,Not Available,90025,2016,Police Station,214.2,490.6,477.6,214.2,490.6,1990
3100 RIVERSIDE DR,4.80E+11,536.9,COMPLIED,-7.6,-7.6,62,No,Not Available,Not Available,"AvalonBay Communities, Inc",238159,Not Available,Not Available,1,95,Not Available,90027,2016,Multifamily Housing,34.6,74.8,6601.6,34.6,74.9,1989
11115 MCCORMICK ST,4.49E+11,327.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"SFII Academy Tower, LLC",153904,Not Available,Not Available,1,100,Not Available,91601,2016,Parking,35.8,112.5,Not Available,34,106.7,1990
928 S WESTERN AVE,4.68E+11,1890.9,COMPLIED,159.3,159.3,Not Available,No,Not Available,Not Available,Koreatown Plaza,223467,Not Available,Not Available,1,100,Not Available,90006,2016,Enclosed Mall,119.7,319.2,12532.1,119.5,318.7,1988
478 W 6TH ST,4.74E+11,120.5,COMPLIED,19.2,19.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,39839,Not Available,Not Available,1,100,Not Available,90731,2016,Other - Services,41.3,119.7,583.6,Not Available,Not Available,1990
10921 WILSHIRE BLVD,4.27E+11,939.2,COMPLIED,-14.7,-14.7,62,No,06/04/2013,"2013, 2012, 2011, 2010, 2009, 2008",The Muller Company,130043,Not Available,Not Available,1,100,Not Available,90024,2016,Office,89.8,246.5,Not Available,93.3,250.2,1961
6501 W IMPERIAL HWY,4.40E+11,166,COMPLIED,-25.5,-25.5,Not Available,No,Not Available,Not Available,Los Angeles World Airports,72339,Not Available,Not Available,1,95,Not Available,90045,2016,Other,31.1,91.8,498.2,Not Available,Not Available,1951
3200 WILSHIRE BLVD NO 1000,4.73E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Jamison Services,199408,Not Available,Not Available,2,75,Not Available,90010,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1961
640 S HILL ST,4.85E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles United Investment Company,442107,Not Available,Not Available,2,85,Not Available,90014,2016,Other,Not Available,Not Available,Not Available,Not Available,Not Available,1908
6410 PLATT AVE,3.68E+11,100.6,COMPLIED,1.7,1.7,Not Available,No,Not Available,Not Available,ICI Development Company,17250,363.8,21.09,1,100,Not Available,91307,2016,Retail Store,76.9,241.6,363.8,73.2,229.8,1965
1543 SHATTO ST,4.80E+11,219.2,COMPLIED,77.5,77.5,Not Available,No,Not Available,Not Available,Santa Fe Holdings LLC,44536,Not Available,Not Available,1,100,Not Available,90017,2016,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",56.7,178.1,Not Available,56.7,178.1,1970
3255 WILSHIRE BLVD,4.73E+11,953.1,COMPLIED,-18.7,-18.7,70,No,Not Available,Not Available,Jamison Services,206583,Not Available,Not Available,1,55,Not Available,90010,2016,Office,54.7,163.4,Not Available,55.4,164.1,1976
611 HOOVER ST,4.75E+11,30.6,COMPLIED,127.3,127.3,5,No,Not Available,Not Available,Los Angeles Department of Water and Power,19800,Not Available,Not Available,1,100,Not Available,90026,2016,Non-Refrigerated Warehouse,20.4,64,53.3,21,66,1925
3278 WILSHIRE BLVD,4.73E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Talmadge LLC,119770,Not Available,Not Available,1,100,Not Available,90010,2016,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1924
5547 W CENTURY BLVD,4.47E+11,230,COMPLIED,-25.8,-25.8,78,No,Not Available,Not Available,Los Angeles World Airports,63595,Not Available,Not Available,1,50,Not Available,90045,2016,Hotel,63.7,88.1,3520.3,Not Available,Not Available,1954
12825 VENTURA BLVD,4.37E+11,376,COMPLIED,-34.3,-34.3,86,No,Not Available,Not Available,Sportsmens Lodge Hotel,116000,Not Available,Not Available,1,75,Not Available,91604,2016,Hotel,47.2,117.3,9610,46.4,115,1962
7411 WORLD WAY WEST,4.32E+11,507.4,COMPLIED,1660.5,1660.5,Not Available,No,Not Available,Not Available,Los Angeles World Airports,8287,Not Available,Not Available,1,50,Not Available,90045,2016,Other,903.3,2167.5,341.1,Not Available,Not Available,1989
2230 E NORFOLK ST,5.01E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10160,Not Available,Not Available,1,100,Not Available,90033,2016,Other - Recreation,Not Available,Not Available,917.9,Not Available,Not Available,1975
17015 W BURBANK BLVD,4.10E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",18240,Not Available,Not Available,1,100,Not Available,91316,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1990
22855 VICTORY BLVD,3.72E+11,472.1,COMPLIED,-58.9,-58.9,94,No,Not Available,Not Available,Home Depot,139368,429.3,3.08,1,100,Not Available,91307,2016,Retail Store,42.2,115.5,429.3,44.4,117.5,2003
2029 CENTURY PARK EAST,4.36E+11,11325,COMPLIED,-37.4,-37.4,88,No,11/16/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",CBRE,2833451,Not Available,Not Available,1,100,Not Available,90067,2016,Office,55.7,153.8,44456.5,Not Available,Not Available,1974
6701 CENTER DR WEST,4.42E+11,1320.6,COMPLIED,-32.1,-32.1,82,No,Not Available,Not Available,"BRE HH Property Owner, LLC",342394,4539,13.26,1,80,Not Available,90045,2016,Office,50.9,159.7,4539,Not Available,Not Available,1985
1546 W MARTIN LUTHER KING BLVD,4.69E+11,317.4,COMPLIED,65.7,65.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,46677,Not Available,Not Available,1,100,Not Available,90062,2016,Police Station,96.4,255.8,840,99.5,259.1,1990
14355 W ARMINTA ST,4.27E+11,70.1,COMPLIED,-12.9,-12.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,19308,Not Available,Not Available,1,100,Not Available,91402,2016,Fire Station,52.1,134.4,0.3,50.7,129.1,2007
3100 E WASHINGTON BLVD,4.97E+11,677.3,COMPLIED,9.1,9.1,43,No,Not Available,Not Available,Preferred Freezer Services,120101,Not Available,Not Available,1,100,Not Available,90023,2016,Refrigerated Warehouse,74.4,233.5,3201.2,74.2,233.1,2001
21900 VANOWEN ST,3.79E+11,613.6,COMPLIED,-55.1,-55.1,92,No,Not Available,Not Available,Macy's,243474,Not Available,Not Available,1,100,Not Available,91303,2016,Retail Store,29,91.2,3087,28.4,89.2,1994
9545 SAN FERNANDO RD,4.41E+11,806,COMPLIED,148.6,148.6,4,No,Not Available,Not Available,Prologis,168000,Not Available,Not Available,1,100,Not Available,91352,2016,Distribution Center,63.9,196.3,1095.9,63.9,196.3,1978
