natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
"110,913.70",3330964,19124,Sullivan,133.8,534.4,Not Available,98.3,K-12 School,1,54,5300 DITMAN ST,1929,"5,225,783.70",65000,664.3,1051334.80,,786112400
"99,244.00",3673605,19136,ez storage,161.8,589.5,Not Available,52.3,Self-Storage Facility,5,Not Available,7245 state road,2006,Not Available,85350,372.1,4364231.20,,884256025
"972,576.30",3681795,19130,Center for Business & Industry,89.1,682.3,Not Available,32,College/University,1,Not Available,1751 Callowhill St,2003,Not Available,177480,764.7,4711289.60,,772535700
"26,168,685.30",3668376,19154,David Michael and Co Inc,565.9,2786.10,Not Available,343.9,Manufacturing/Industrial Plant,1,Not Available,10801 Decatur Rd.,1970,Not Available,106420,5389.10,10429716.30,,884279500
"846,100.00",3800038,19137,29145-Philadelphia / Wheatsheaf Lane,34.6,106.8,Not Available,19.4,Non-Refrigerated Warehouse,1,96,2190 Wheatsheaf Lane,2000,Not Available,67600,11,462073.50,,884204500
"4,853,411.30",4193921,19129,Mercy Vocational High School,173.1,554.4,Not Available,129.6,K-12 School,1,60,2900 W Hunting Park Ave,1910,Not Available,61320,338.4,1126166.80,,775069000
"2,361,813.00",3878427,19153,Serous Hasani,62.1,454.3,Not Available,29.3,Non-Refrigerated Warehouse,1,79,7575 Brewster Ave,1980,Not Available,164173,4.3,2456604.90,,884165000
"2,541,226.80",3330753,19149,Ziegler,129,345.7,Not Available,69.7,K-12 School,1,70,5935 SAUL ST,1956,Not Available,21149,789.3,1574232.30,,786076410
"7,049,591.60",3773979,19139,West Catholic,87.3,641.3,Not Available,57.8,K-12 School,3,88,4501 Chestnut St.,1926,Not Available,156425,725.1,1993639.80,,774569000
"811,121.40",3858202,19128,Immaculate Heart of Mary,108.8,350.9,Not Available,69.9,Worship Facility,3,Not Available,819 E Cathedral Road,1950,"2,268,802.70",58982,1041.60,1041992.70,,775094000
Not Available,3965683,19140,JONES HALL,404.8,1988.90,"13,577,272.40",209.9,Medical Office,1,47,1316 W ONTARIO ST,2000,Not Available,103361,1889.40,8123245.20,,777557000
"26,775,551.80",2705476,19151,Callowhill Depot,270.2,2676.90,Not Available,169.7,Other - Public Services,1,Not Available,5900 Callowhill Street,1913,Not Available,213000,5011.20,9373166.60,,884340559
Not Available,4056370,19107,12th && Sansom,1675.90,142.9,Not Available,533.7,Parking,1,Not Available,123 s 12th st,1960,Not Available,78000,244.6,1067429.50,,883403000
"2,064,588.50",3634931,19114,Orleans Technical Institute,217.8,810.2,Not Available,85.5,Vocational School,1,Not Available,2770 Red Lion Road,2007,Not Available,85378,318.5,5232929.80,,786462480
"2,592,085.30",1799464,19104,4015 Walnut Street,125.4,360.1,Not Available,67.2,Non-Refrigerated Warehouse,1,Not Available,4015 Walnut Street,1925,Not Available,63316,823.7,1661649.50,,773579000
Not Available,3788641,19134,FORMAN MILLS 113,193,441.7,Not Available,61.5,Retail Store,1,42,3500 ARAMINGO AVE,1988,Not Available,53668,327.3,3299469.50,,882125501
"1,277,364.50",3628711,19121,Philadelphia Opportunities Industrialization Center,132,517.3,Not Available,51.5,Office,1,73,1239 N. Broad St.,1920,Not Available,100000,934.8,3357423.00,,771637000
Not Available,3417370,19103,2401 Walnut,136.4,952.5,Not Available,43.4,Office,1,89,2401 Walnut Street,1925,Not Available,163836,1231.50,7115712.40,,883039105
"20,794,216.80",3080640,19103,Rittenhouse Claridge,146.3,2848.20,Not Available,78.9,Multifamily Housing,1,46,201 S. 18th St.,1951,Not Available,447813,16159.50,13025944.60,,881027000
Not Available,2555977,19130,1600 Callowhill,206.3,780.1,Not Available,65.7,Office,1,30,1600 Callowhill Street,1920,Not Available,103483,1322.20,5827416.20,,883065100
Not Available,3980267,19140,BOYER PKG GAR on Tioga Street,64.9,524.7,Not Available,21.1,Parking,1,Not Available,3501 N BROAD ST,1970,"128,127.00",188099,6.7,3848736.00,,777532901
"4,241,704.90",3330784,19142,Catherine,119.3,327.9,Not Available,87.1,K-12 School,1,69,6600 CHESTER AVE,1937,Not Available,57500,419.5,766591.10,,783094200
Not Available,3951369,19137,JM Auto Spot,3.7,7.7,Not Available,1.2,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",5,Not Available,3711 Sepviva Street,1910,Not Available,48000,,57288.20,,884201375
"646,906.70",3774261,19106,100 N. 20th Street,169.3,645.5,Not Available,58.8,Office,1,86,100 North 20th Street,1981,Not Available,88700,988.1,4565515.30,,883066000
"79,341,005.70",3281349,19136,HOC-House of Corrections Complex,185.3,7245.90,Not Available,123.1,Other,5,Not Available,8001 State Rd,1927,"651,097.80",830754,37948.90,22286685.80,,881449900
"3,593,872.90",4082877,19124,1200 E. Erie Avenue,59.1,516.5,Not Available,31.2,Other,1,Not Available,1200 E. Erie Avenue,1925,Not Available,193124,2211.50,2432146.60,,884110000
"5,717,675.70",3971353,19102,Magee Rehabilitation Hospital,287.6,1849.30,Not Available,117.5,Other - Specialty Hospital,1,Not Available,1513 Race St,1981,Not Available,146912,7091.30,11545989.60,,772046000
"15,627,463.00",3330814,19148,Furness HS,154,1082.50,Not Available,120.8,K-12 School,1,44,1900 S 3RD ST,1914,Not Available,145000,1602.90,1885489.60,,781458200
"77,128,809.60",2867268,19104,Penn Presbyterian Medical Center,421.8,16224.70,"8,277,760.00",200,Hospital (General Medical & Surgical),10,54,51 North 39th St,1922,Not Available,959580,42762.90,86492221.00,,774002001
"39,852,926.10",4319458,19102,City Hall,157.4,4760.10,Not Available,90.5,Office,1,82,1400 Market St,1900,"138,000.00",659185,4841.00,19669818.30,,782273400
"4,507,152.70",3788376,19104,HMS SCHOOL,153.7,561.7,Not Available,86.4,Other - Education,1,Not Available,4400 Baltimore ave,1885,Not Available,80000,3024.50,2407928.60,,773594600
"3,527,593.20",3879942,19131,Mandeville Hall (MV),230.5,907.8,Not Available,99.7,College/University,1,Not Available,5600 City Avenue,1997,Not Available,89373,720.4,5381645.20,,774502000
"5,794,197.60",1211433,19106,ACE Philadelphia,167.9,2458.00,Not Available,64.9,Office,1,84,436 Walnut Street,1925,Not Available,350577,3766.20,16063054.50,,883300400
"285,318.90",3736468,19148,Novick Brothers Corp.,186.8,506,Not Available,62.5,Distribution Center,1,35,3660 S Lawrence St.,1962,Not Available,63229,240,3666576.10,,884154000
"207,058.60",3330799,19139,Rhoads J,128.8,554,Not Available,95.2,K-12 School,1,8,4901 PARRISH ST,1960,"5,389,727.90",70000,985.7,1068821.30,,783394400
"100,266.70",3892836,19116,2191 Hornig Rd,34.5,96,Not Available,12,Office,1,100,2191 Hornig Rd,1950,Not Available,64638,50.7,677597.60,,884233835
"656,195.40",3638043,19103,The Philadelphia Design Building,524.2,2209.10,Not Available,171.4,Office,1,2,2300 Chestnut Street,1910,Not Available,99556,347.8,16241683.00,"Building contains data center, which is not properly represented in benchmarking data. Working on a resolution.",883036500
"849,828.80",3666158,19137,Franklin Towne Charter High School,244,1501.80,Not Available,81.7,K-12 School,3,2,5301 Tacony St,1940,Not Available,143673,558145.80,10881509.50,,882938550
"3,062,466.40",3619986,19103,1608 Walnut Street Associates LP,170.2,1513.30,Not Available,64.2,Office,1,81,1608 Walnut Street,1925,Not Available,161685,5048.50,10089754.90,,883332160
"3,053,872.20",3859497,19148,Stella Maris Church and School,95.7,309.5,Not Available,59.7,K-12 School,2,58,2901 S 10th Street,1954,Not Available,69630,504.8,1100165.30,,771251500
"178,403.80",3330969,19126,Rowen,118.8,409.8,Not Available,87.3,K-12 School,1,59,6841 NORTH 19TH ST,1938,"3,940,037.90",56400,3278.20,806180.90,,784552600
Not Available,3875830,19115,Center One,290.4,984,Not Available,92.5,Ambulatory Surgical Center,1,Not Available,9880 Bustleton Ave,1980,Not Available,79485,1473.30,7350993.60,,778025205
"1,960,217.30",3707270,19154,DUTTON ROAD ASSOC.,58.2,254.6,Not Available,32.1,Other,1,Not Available,10901 DUTTON ROAD,1975,Not Available,96000,801.4,1124110.00,,884282500
"1,293,354.50",3950687,19124,Gimme Shelter LLC,44.2,108.5,Not Available,30.7,Other,1,Not Available,2127 Gillingham St,1920,Not Available,51829,963.8,297561.90,,884639700
Not Available,1485534,19103,154-TWO LOGAN SQUARE,301.4,10382.50,Not Available,96,Office,1,72,100 NORTH 18TH STREET,1988,Not Available,808040,15345.70,77558956.80,,883061805
"2,761,740.00",3891490,19148,Pier 38 South/40 South,8.6,286.4,Not Available,5.3,Non-Refrigerated Warehouse,2,Not Available,801 S. Columbus Blvd,1930,Not Available,715000,1231.60,1043526.10,,884018736
Not Available,3697956,19153,Southwest Water Pollution Control Plant,2967.00,27827.60,Not Available,944.9,Wastewater Treatment Plant,12,94,8200 Enterprise Ave,1975,Not Available,220000,417652.30,207877055.40,,783131000
"616,559.80",3330846,19131,Overbrook HS,92.5,1929.80,Not Available,74.5,K-12 School,1,93,5898 LANCASTER AVE,1926,"20,835,791.70",323316,1427.70,2621124.00,,783258200
"4,248,858.70",3673727,19148,Walmart Supercenter #01-2141,269.7,1753.10,Not Available,104.8,Wholesale Club/Supercenter,1,77,1675 S. Christopher Columbus Blvd.,1995,Not Available,149398,2004.70,11409837.20,,882055181
"9,664.30",3927653,19130,Barnes Foundation,400.4,1756.90,"6,084,154.40",168,Museum,1,Not Available,2025 Benjamin Franklin Parkway,2012,Not Available,98388,4977.80,10439498.50,,782425810
"378,817.90",3330869,19121,Gideon,106.1,429.2,Not Available,77.5,K-12 School,1,67,2817 W GLENWOOD AVE,1952,"3,948,042.30",67000,1213.80,867132.80,,784168800
"912,892.50",3721208,19106,National Liberty Museum,51.8,194.2,Not Available,23.7,Museum,1,Not Available,321 Chestnut Street,1905,Not Available,84410,111.3,1088205.90,,771737000
"2,973,050.00",3959249,19116,Somerton Center Nursing Home,73.6,809,Not Available,31.3,Senior Care Community,1,90,650 Edison ave.,1935,Not Available,250000,7263.60,4863922.00,,881436010
"10,044,166.90",3356674,19141,Widener,340,1377.70,Not Available,207,K-12 School,1,1,1450 WEST OLNEY AVE,1953,"2,385,330.10",84135,1440.90,4983700.30,,785056600
"702,794.80",4096234,19137,Pride Capital LLC,16.3,116.8,Not Available,8.1,Self-Storage Facility,1,Not Available,5400 eadom st.,1920,Not Available,150988,317.8,593928.90,,884212501
Not Available,3697846,19153,Cambridge Hanover 3250 S. 76th,,,Not Available,,Non-Refrigerated Warehouse,1,Not Available,3250 S. 76th St.,1990,Not Available,247447,60.2,,,884167500
"5,863,634.80",3330979,19149,Spruance,102.7,496,Not Available,70.9,K-12 School,1,81,6401 HORROCKS ST,1950,Not Available,102143,743.9,1378906.20,,786304600
"22,826,100.60",3505831,19103,Independence Blue Cross,241.6,8869.70,Not Available,95,Office,1,77,1901 Market Street,1988,Not Available,1011239,15001.60,57201395.20,,883034200
Not Available,3751437,19125,"Charles Jacquin et Cie., Inc.",64.1,546.1,Not Available,20.4,Manufacturing/Industrial Plant,5,Not Available,2633 Trenton Ave.,1970,Not Available,200000,1949.40,4079769.30,,884104340
Not Available,3663168,19102,1528 Walnut,190.2,1784.60,"7,217,456.40",82.1,Office,1,81,1528 Walnut Street,1927,Not Available,206625,2037.70,9751168.40,,883041500
"12,153,509.70",4471836,19112,"Urban Outfitters, Inc. - Building #017, 018",597.2,3075.20,Not Available,259.4,Office,1,1,1620 Kitty Hawk Ave,1916,Not Available,116802,,18150134.00,,
"3,956,692.30",4125760,19146,3600 Grays Ferry Ave (FedEx Express),110.5,551.2,Not Available,59.1,Not Available,1,Not Available,3600 Grays Ferry Avenue,2001,Not Available,,225.2,2547919.90,,884122536
"1,794,082.30",3891321,19123,Miller Building,178.7,624.5,Not Available,71.8,Office,1,71,441 n 5th st,1956,Not Available,80000,687.7,3953276.30,,883009101
"2,573,939.30",3330866,19132,Wright,102.5,379.7,Not Available,53.5,K-12 School,1,46,2700 W DAUPHIN ST,1905,Not Available,82000,915.1,1814952.30,,784615800
"40,033.00",4142231,19146,Independence Charter School,127.7,274.1,Not Available,41.2,K-12 School,1,87,1600 Lombard Street,1909,Not Available,56000,0.9,2031607.80,,782671300
Not Available,3637785,19102,Chest Pac Associates,347,2699.20,Not Available,110.5,Office,1,40,111 South 15th Street,1924,Not Available,182472,2707.20,20163841.80,,883324600
"16,621.20",3643298,19107,Bluemle Life Science Building,765.6,10030.90,"43,312,349.20",336.8,Laboratory,1,Not Available,951 Locust Street,1991,Not Available,287286,12511.90,53442394.80,,771015010
"991,817.80",3877086,19154,11600 Caroline Rd.,49.6,219.8,Not Available,22.4,Non-Refrigerated Warehouse,1,66,11600 Caroline Rd.,1974,Not Available,100000,861.8,1248317.70,,884269500
Not Available,1485471,19104,150-CIRA CENTRE,285,9470.90,Not Available,90.8,Office,1,77,2929 ARCH STREET,2006,Not Available,778607,16236.10,70749116.60,,883062300
"3,825,379.40",3696624,19114,"9250 Ashton Road, Inc.",29.6,397.2,Not Available,18.2,Non-Refrigerated Warehouse,1,98,9250 Ashton Rd.,1966,Not Available,289713,28,1449685.40,,884226510
"2,530,510.10",3762536,19104,"14,14A-Daskalakis Athletic Center / Recreation Center",236.7,2847.10,"9,958,701.70",104.9,Other - Recreation,2,Not Available,3301 Market Street,1976,Not Available,265093,2777.60,15325056.00,,774530510
Not Available,3635022,19134,Kawin LLC,10.7,23.9,Not Available,3.4,Strip Mall,2,Not Available,3501 Cedar Street,1983,Not Available,52261,2.9,178266.00,,882059600
"5,552,544.90",3330891,19122,Ludlow,116.1,393.9,Not Available,89.6,K-12 School,1,21,500 W MASTER ST,1927,Not Available,70230,1381.20,739559.50,,781497200
Not Available,3736473,19102,12th and Walnut,590.4,412.5,Not Available,188,Parking,1,Not Available,1201 Walnut Street,1979,Not Available,233571,4111.50,3081335.60,,883408500
"463,040.60",3790469,19145,LT02181 - 4050 S. 26th Street,201.8,459.5,Not Available,70.1,Office,1,54,4050 S. 26th Street,2011,Not Available,52782,181.6,3249174.20,,788003050
Not Available,3789968,19114,"Measy Clyde & Etal, Paul Shcaly",113,987.4,Not Available,85.3,Other,1,Not Available,9119 Frankford Ave,1951,"10,137,618.10",139425,133.4,1755856.10,,884259100
"2,466,229.60",3877243,19145,St. Monica Sr. School,112.3,277.4,Not Available,66.4,Other - Education,1,Not Available,2500 S 16th st,1971,Not Available,53616,939.3,1093626.20,,773200000
"1,907,044.20",3774260,19106,615 Chestnut Street,166.5,3181.70,Not Available,55.9,Office,1,89,615 Chestnut Street,1981,Not Available,383918,6621.40,23010886.30,,883010310
"8,328,573.80",3330868,19121,Douglas F,139.6,722.2,Not Available,95,K-12 School,1,25,2118 W NORRIS ST,1940,Not Available,109651,1678.50,2090551.80,,784321800
"4,086,083.40",3958035,19146,Powerback Rehabilitation,231.3,1052.10,Not Available,100,Outpatient Rehabilitation/Physical Therapy,1,Not Available,1526 Lombard Street,1818,Not Available,103240,9734.80,6237780.90,,881436700
205.2,3591160,19103,American Red Cross - Humanitarian Services,185.3,632.6,"2,403,745.20",78.6,Office,1,68,2221 Chestnut St.,1972,Not Available,80679,990.4,3533648.00,,883324100
"5,621,450.30",3885144,19154,Philadelphia-Southampton Road RC,143.8,875.3,Not Available,73.5,Office,1,54,2700 Southampton Road,1975,Not Available,135162,1293.70,4308281.20,,786503420
Not Available,1750739,19102,"1525 LOCUST STREET, Site # 603090",239.7,1103.50,Not Available,76.3,Office,1,50,1525 LOCUST ST,1990,Not Available,108000,1386.90,8243538.70,,883045400
"38,103,387.70",2704868,19145,Southern Depot,333.8,3406.70,Not Available,223.2,Other - Public Services,1,Not Available,1900 Johnston Street,1924,-,217000,8479.90,10330171.20,,773628000
"25,810,279.60",3885006,19129,DUMed-Queen Lane Campus,477.3,5563.50,Not Available,217.4,College/University,1,Not Available,2900 Queen Lane,1988,Not Available,262839,9259.50,31319055.10,,774010200
513,3641814,19107,Edison Building,203.7,2265.10,"9,611,700.00",89.2,Office,1,57,130 South 9th Street,1930,Not Available,244109,3415.60,12152923.00,,771021000
"81,619.20",3330965,19140,Taylor,123.8,408.3,Not Available,82.3,K-12 School,1,61,3698 NORTH RANDOLPH ST,1908,"3,492,228.10",56600,690.9,1081808.70,,785405400
"2,135,136.80",3683713,19136,Wolf Investment Corp. #7,44.1,337.6,Not Available,22.4,Other,1,Not Available,8701 TORRESDALE AVE,1956,Not Available,170000,1723.70,1674844.30,,884260000
Not Available,1973738,19103,Jewish Federation,176,970.3,"4,157,964.80",77.3,Office,1,76,2100 Arch Street,1913,Not Available,120943,1760.60,5185636.10,,772636525
"5,338,593.00",3330948,19124,Juniata Park,181.6,836.7,Not Available,92.6,K-12 School,1,9,801 E HUNTING PARK AVE,2007,Not Available,102300,2007.20,4131874.00,,884460970
"16,715,254.10",3830390,19129,Salvation Army Kroc Center,433.6,2553.90,Not Available,223.3,Other,1,Not Available,4200 Wissahickon Ave,2010,Not Available,130620,3155.30,12446030.90,,776293510
"113,475.60",3892824,19124,1196 Adams Ave,13.5,40.4,Not Available,5.4,Non-Refrigerated Warehouse,1,90,1196 Adams Ave,1850,Not Available,68632,151.4,257008.60,,884641200
Not Available,1339876,19104,3535 Market,171.7,3731.30,"7,327,272.80",63.8,Medical Office,1,84,3535 Market Street,1973,Not Available,494608,5447.60,24238714.90,,883073000
"5,607,699.80",1946616,19107,Loews Philadelphia Hotel,231.2,6767.70,"20,797,624.00",99.1,Hotel,1,43,1200 Market Street,1932,Not Available,735000,24332.00,38014900.40,"In 2014, the Loews Philadelphia Hotel maintained consistent energy usage trends despite a significant increase in heating degree days during the winter months as well as a 15% increase in meals served from 2013 to 2014. The Loews Team works actively to further energy reduction at the property.",883705320
"2,633,490.90",3966762,19006,275 Geiger Rd.,84.4,300.9,Not Available,49.5,Non-Refrigerated Warehouse,1,47,275 Geiger Rd.,1984,Not Available,77500,1212.10,1203141.80,,884228000
"4,211,375.10",3877200,19153,Philadelphia PA FP,242.9,956.2,Not Available,108.9,Hotel,1,47,4101 Island Ave,1980,Not Available,88000,6231.70,5471899.50,,883742500
Not Available,3892833,19151,6701 Callowhill St,,,Not Available,,K-12 School,1,Not Available,6701 Callowhill St,1950,Not Available,56321,,1177857.50,,774084000
"1,531,580.60",3958050,19116,10195 Northeast Ave.,56.5,133.2,Not Available,38.4,Non-Refrigerated Warehouse,1,67,10195 Northeast Ave.,1969,Not Available,50000,33.3,387158.60,,884239600
Not Available,3820092,19107,One South Broad,213.7,5027.40,"15,341,213.00",86,Office,1,55,1 South Broad Street,1932,Not Available,526472,3723.30,29946100.40,,883318500
"5,039,240.60",3751718,19107,Hilton Garden Inn Center City,199.4,1504.30,Not Available,83,Hotel,1,58,1100 Arch Street,2000,Not Available,172000,7648.50,9237580.60,,883705201
